Date,Apple Inc. (AAPL),Microsoft Corp. (MSFT),Amazon.com Inc. (AMZN),Facebook Inc. Cl A (FB),Alphabet Inc. Cl A (GOOGL),Alphabet Inc. Cl C (GOOG),Tesla Inc. (TSLA),Berkshire Hathaway Inc. Cl B (BRK.B),NVIDIA Corp. (NVDA),JPMorgan Chase & Co. (JPM),Johnson & Johnson (JNJ),Visa Inc. Cl A (V),UnitedHealth Group Inc. (UNH),PayPal Holdings Inc. (PYPL),Home Depot Inc. (HD),Procter & Gamble Co. (PG),Mastercard Inc. (MA),Walt Disney Co. (DIS),Bank of America Corp. (BAC),Adobe Inc. (ADBE),Exxon Mobil Corp. (XOM),Comcast Corp. Cl A (CMCSA),Netflix Inc. (NFLX),Verizon Communications Inc. (VZ),Intel Corp. (INTC)
08/27/2021,148.60,299.72,3349.63,372.63,2880.08,2891.01,711.92,286.60,226.36,163.05,172.93,232.69,418.76,278.33,323.38,142.31,355.73,180.14,42.49,658.52,55.77,59.40,558.92,54.77,53.89
08/26/2021,147.54,299.09,3316.00,364.38,2828.81,2842.46,701.16,285.27,220.68,161.75,173.30,230.52,416.85,273.62,321.48,142.42,352.86,176.56,42.04,652.39,54.71,59.00,550.12,54.60,53.13
08/25/2021,148.36,302.01,3299.18,368.39,2841.58,2859.00,711.20,287.30,222.13,160.92,174.23,232.59,419.74,277.69,323.88,142.67,359.10,178.31,42.15,656.80,55.46,59.48,547.58,54.93,53.81
08/24/2021,149.62,302.62,3305.78,365.51,2825.23,2847.97,708.49,286.02,217.93,157.67,175.39,234.24,423.41,279.51,324.90,143.18,361.78,178.47,41.48,657.24,55.36,59.53,553.41,55.01,53.81
08/23/2021,149.71,304.65,3265.87,363.35,2800.83,2821.99,706.30,285.62,219.58,156.70,177.61,234.14,425.36,276.98,327.74,144.35,361.01,177.66,40.91,656.86,54.91,59.80,553.33,55.42,53.23
08/20/2021,148.19,304.36,3199.95,359.37,2748.59,2768.74,680.26,285.27,208.16,154.72,179.44,231.36,429.71,272.96,329.24,145.09,354.99,175.12,40.37,647.34,52.74,59.41,546.88,55.52,52.01
08/19/2021,146.70,296.77,3187.75,355.12,2713.60,2738.27,673.47,285.13,197.98,154.28,178.57,231.57,427.89,270.58,322.90,144.99,357.31,173.25,40.19,637.66,52.73,58.96,543.71,55.37,52.44
08/18/2021,146.36,290.73,3201.22,355.45,2708.98,2731.40,688.99,286.36,190.40,155.58,177.19,231.63,417.32,268.84,321.55,143.30,360.95,174.74,40.79,626.77,54.39,59.03,521.87,55.47,52.19
08/17/2021,150.19,293.08,3241.96,358.45,2733.23,2746.01,665.71,289.10,194.58,157.01,179.47,234.53,421.78,271.10,320.75,144.88,363.23,175.83,41.09,635.01,55.56,59.47,518.91,56.18,52.69
08/16/2021,151.12,294.60,3298.99,366.56,2766.19,2778.32,686.17,289.45,199.50,158.93,177.84,235.36,417.21,278.28,335.05,144.64,363.56,179.09,41.29,636.94,55.94,59.25,517.92,55.98,53.47
08/13/2021,149.10,292.85,3293.97,363.18,2754.55,2768.12,717.17,287.89,201.88,159.98,176.25,232.65,409.67,274.91,331.32,143.64,362.75,181.08,41.63,637.31,56.77,59.32,515.92,55.87,53.49
08/12/2021,148.89,289.81,3303.50,362.65,2743.88,2767.79,722.25,290.24,199.05,161.79,175.20,231.79,405.96,274.59,334.02,142.95,361.98,179.29,42.15,634.35,57.35,59.03,510.72,55.64,53.54
08/11/2021,145.86,286.95,3292.11,359.96,2725.58,2753.79,707.82,291.28,196.99,161.16,173.80,235.06,407.74,276.41,337.00,142.62,364.24,178.09,41.95,626.03,58.35,59.09,512.40,55.57,54.14
08/10/2021,145.60,286.44,3320.68,361.13,2736.14,2761.93,709.99,288.94,199.36,159.26,173.77,238.07,411.78,274.37,331.48,142.27,367.84,177.07,41.43,621.74,58.18,58.45,515.84,55.48,53.94
08/09/2021,146.09,288.33,3341.87,361.61,2738.26,2760.04,713.76,287.23,202.95,157.33,173.71,240.00,410.87,278.15,328.76,142.18,370.68,176.72,40.67,629.22,57.20,58.28,519.97,55.12,54.05
08/06/2021,146.14,289.46,3344.94,363.51,2714.77,2740.72,699.10,285.63,203.66,157.50,173.11,241.40,415.12,279.54,329.84,141.41,374.53,177.13,40.15,631.38,57.86,58.69,520.55,55.22,53.92
08/05/2021,147.06,289.52,3375.99,362.97,2725.03,2738.80,714.63,280.21,206.37,153.15,173.69,240.21,411.19,280.67,333.11,142.50,371.94,176.71,39.02,632.08,57.20,58.34,524.89,55.30,53.89
08/04/2021,146.95,286.51,3354.72,358.92,2702.51,2720.57,710.92,278.78,202.74,151.24,173.36,236.67,421.54,275.50,330.31,142.43,368.01,172.58,38.27,625.68,56.84,57.97,517.35,55.37,53.90
08/03/2021,147.36,287.12,3366.24,351.24,2712.60,2725.60,709.74,281.80,198.15,152.89,174.39,237.09,421.90,273.50,331.94,143.95,367.60,172.99,38.55,621.28,58.20,58.23,510.82,55.73,54.06
08/02/2021,145.52,284.82,3331.48,351.95,2697.09,2719.79,709.67,278.14,197.50,151.17,172.27,239.78,415.57,270.99,327.22,141.88,375.26,175.55,37.96,618.75,57.58,58.47,515.15,55.76,53.68
07/30/2021,145.86,284.91,3327.59,356.30,2694.53,2704.42,687.20,278.29,194.99,151.78,172.20,246.39,412.22,275.53,328.19,142.23,385.94,176.02,38.36,621.63,57.57,58.83,517.57,55.78,53.72
07/29/2021,145.64,286.50,3599.92,358.32,2715.55,2730.81,677.35,279.76,196.62,153.00,172.18,247.92,412.08,283.17,327.43,139.48,388.81,178.35,38.68,621.70,58.93,58.11,514.25,55.98,53.70
07/28/2021,144.98,286.22,3630.32,373.28,2721.88,2727.63,646.98,278.10,195.03,151.70,172.18,246.94,409.17,301.98,325.52,138.76,383.44,179.10,38.13,620.92,58.22,57.98,519.30,55.72,53.07
07/27/2021,146.77,286.54,3626.39,367.81,2638.00,2735.93,644.78,280.78,192.08,151.45,172.66,250.93,415.10,300.48,327.26,140.85,390.27,179.50,37.98,618.28,57.83,58.56,518.91,56.20,53.18
07/26/2021,148.99,289.05,3699.82,372.46,2680.70,2792.89,657.62,278.80,192.94,151.65,171.87,250.25,413.54,306.80,331.18,140.28,392.80,178.74,38.13,620.80,58.48,58.70,516.49,55.78,54.31
07/23/2021,148.56,289.67,3656.64,369.79,2660.30,2756.32,643.38,278.49,195.58,150.64,171.79,249.02,417.70,308.53,332.84,139.79,393.26,176.14,37.70,625.87,57.04,58.36,515.41,55.88,53.00
07/22/2021,146.80,286.14,3638.03,351.19,2568.43,2666.57,649.26,277.70,195.94,150.93,169.98,244.14,415.77,303.69,326.66,137.80,382.16,175.13,37.96,623.68,57.11,57.79,511.77,55.95,55.96
07/21/2021,145.40,281.40,3585.20,346.23,2550.98,2652.01,655.29,279.88,194.10,152.86,169.49,243.66,414.64,301.77,326.36,139.20,380.06,176.89,38.46,612.26,57.76,57.81,513.63,55.95,56.23
07/20/2021,146.15,279.32,3573.19,341.66,2524.19,2622.03,660.50,276.89,186.12,149.71,168.45,242.70,412.97,298.07,325.35,139.69,374.39,176.75,37.69,608.72,55.96,57.08,531.05,55.58,55.24
07/19/2021,142.45,277.01,3549.59,336.95,2491.56,2585.08,646.22,272.66,187.80,146.97,166.88,240.41,409.06,294.85,318.87,140.44,365.45,172.95,36.93,602.05,55.35,56.63,532.28,55.84,54.64
07/16/2021,146.39,280.75,3573.63,341.16,2539.40,2636.91,644.22,277.90,181.61,151.91,168.10,248.12,419.70,294.63,321.54,140.51,387.12,179.31,37.92,606.10,57.32,57.55,530.31,56.46,54.97
07/15/2021,148.48,281.03,3631.20,344.46,2540.10,2625.33,650.60,279.72,189.66,155.46,168.37,248.55,420.05,296.51,322.71,139.16,390.23,184.15,38.83,606.17,58.95,57.95,542.95,56.55,55.81
07/14/2021,149.15,282.51,3681.68,347.63,2564.74,2641.65,653.38,278.31,198.42,155.12,170.42,245.99,414.74,300.75,319.22,137.98,390.80,183.42,38.86,608.83,59.53,57.77,547.95,56.32,56.52
07/13/2021,145.64,280.98,3677.36,352.09,2546.83,2619.89,668.54,279.21,202.50,155.65,169.27,242.35,418.54,301.19,317.05,136.97,383.71,183.65,39.86,605.01,60.88,57.82,540.68,56.09,56.87
07/12/2021,144.50,277.32,3718.55,353.16,2539.51,2611.28,685.70,280.11,205.13,158.00,169.48,237.87,416.04,302.97,321.74,137.14,375.56,184.38,40.63,600.20,61.17,58.26,537.31,56.15,56.73
07/09/2021,145.11,277.94,3719.34,350.42,2510.37,2591.49,656.95,280.49,200.50,155.77,169.75,238.47,412.11,300.21,322.09,137.03,372.94,177.04,40.04,604.50,61.23,58.03,535.98,56.07,55.99
07/08/2021,143.24,277.42,3731.41,345.65,2500.88,2583.54,652.81,274.10,199.03,150.94,169.08,236.61,409.95,295.05,318.54,136.98,370.19,172.80,38.78,605.95,60.14,58.23,530.76,55.68,55.39
07/07/2021,144.57,279.93,3696.58,350.49,2529.48,2601.55,644.65,279.24,203.72,153.59,169.41,240.00,411.66,297.13,323.48,137.00,373.92,172.82,39.75,605.77,60.41,58.17,535.96,56.53,55.96
07/06/2021,142.02,277.66,3675.74,352.78,2523.80,2595.42,659.58,277.32,206.99,153.41,167.97,239.60,410.26,292.64,319.26,135.98,376.12,173.69,40.07,596.90,61.37,57.66,541.64,56.41,56.09
07/02/2021,139.96,277.65,3510.98,354.70,2505.15,2574.38,678.90,279.12,204.87,156.03,168.98,238.63,409.36,290.24,322.70,135.90,375.03,177.11,41.15,593.07,63.17,58.42,533.98,56.44,56.76
07/01/2021,137.27,271.60,3432.97,354.39,2448.89,2527.37,677.92,280.17,202.12,157.08,165.96,235.15,404.89,289.00,321.54,135.24,370.71,177.26,41.54,584.73,63.26,57.75,533.54,56.29,56.01
06/30/2021,136.96,270.90,3440.16,347.71,2441.79,2506.32,679.70,277.92,200.03,155.54,164.74,233.82,400.44,291.48,318.89,134.93,365.09,175.77,41.23,585.64,63.08,57.02,528.21,56.03,56.14
06/29/2021,136.33,271.40,3448.14,351.89,2445.45,2520.37,680.76,276.21,200.27,154.14,164.03,235.95,398.10,292.76,318.24,134.40,368.00,173.93,40.89,590.75,62.62,56.54,533.50,55.84,56.75
06/28/2021,134.78,268.72,3443.89,355.64,2450.72,2536.39,688.72,276.61,199.85,154.33,164.02,234.09,401.46,293.65,314.28,135.32,367.68,176.57,41.56,588.80,63.01,56.10,533.03,56.18,57.48
06/25/2021,133.11,265.02,3401.46,341.37,2450.17,2539.90,671.87,278.38,190.31,154.05,164.21,237.32,404.95,289.60,313.63,134.92,379.61,178.35,41.62,579.66,64.66,56.42,527.07,56.38,55.91
06/24/2021,133.41,266.69,3449.08,343.18,2450.00,2545.64,679.82,275.49,192.06,152.51,163.37,236.24,398.87,293.21,311.84,133.02,374.75,177.93,40.83,578.26,64.52,56.06,518.06,56.37,56.07
06/23/2021,133.70,265.28,3503.82,340.59,2442.54,2529.23,656.57,274.66,190.57,151.12,162.63,234.68,395.56,288.12,311.67,132.93,375.14,175.33,40.20,574.23,64.26,55.48,512.74,56.07,55.26
06/22/2021,133.98,265.51,3505.44,339.03,2446.61,2539.99,623.71,276.92,188.87,150.21,163.62,235.93,398.69,286.75,312.71,133.12,378.04,173.50,39.97,575.74,63.79,57.63,508.82,56.37,55.87
06/21/2021,132.30,262.63,3453.96,332.29,2436.25,2529.10,620.83,277.10,184.27,150.43,163.84,234.32,398.07,283.10,307.60,133.07,373.09,173.97,39.75,567.35,62.59,57.28,497.00,56.39,55.87
06/18/2021,130.46,259.43,3486.90,329.66,2402.22,2511.35,623.31,274.04,186.39,147.92,161.98,230.41,389.37,283.38,302.61,132.03,367.42,172.42,38.78,565.59,60.40,56.71,500.77,55.82,55.67
06/17/2021,131.79,260.90,3489.24,336.51,2434.87,2527.42,616.60,278.69,186.57,151.76,165.22,232.15,397.35,278.11,303.12,133.99,367.29,174.65,39.80,551.36,61.99,57.52,498.34,56.53,57.18
06/16/2021,130.15,257.38,3415.25,331.08,2415.45,2513.93,604.87,283.11,178.10,156.27,164.43,229.60,397.25,268.82,302.78,132.78,363.82,174.66,41.62,543.33,64.10,57.12,492.41,56.64,57.22
06/15/2021,129.64,258.36,3383.13,336.75,2428.39,2520.66,599.36,283.94,177.89,155.18,164.49,232.98,400.28,271.89,306.45,134.65,368.12,175.86,41.39,548.46,64.33,57.32,491.90,57.29,57.99
06/14/2021,130.48,259.89,3383.87,336.77,2448.91,2527.04,617.69,283.53,180.19,157.57,165.37,234.08,399.16,274.93,309.32,134.91,366.52,178.18,41.36,556.95,62.07,57.28,499.89,57.18,58.19
06/11/2021,127.35,257.89,3346.83,331.26,2430.20,2513.93,609.89,286.82,178.25,160.29,164.96,234.96,397.89,271.45,310.77,134.86,365.50,177.38,41.86,541.26,62.17,56.88,488.77,57.33,57.85
06/10/2021,126.11,257.24,3349.65,332.46,2435.13,2521.60,610.12,284.91,174.25,160.40,167.08,233.95,401.49,269.47,308.31,135.79,364.30,176.57,41.69,535.52,62.75,56.60,487.27,57.34,57.38
06/09/2021,127.13,253.59,3281.15,330.25,2407.94,2491.40,598.78,288.58,173.58,162.94,165.59,232.31,401.10,263.60,307.34,134.79,363.33,176.04,42.32,514.68,62.65,56.26,485.81,57.05,57.00
06/08/2021,126.74,252.57,3264.11,333.68,2398.44,2482.85,603.59,289.19,174.57,165.00,163.39,232.05,401.74,263.15,310.90,134.84,365.26,176.33,42.88,509.20,62.13,56.43,492.39,57.15,57.00
06/07/2021,125.90,253.81,3198.01,336.58,2402.30,2466.09,605.13,289.46,176.19,165.66,164.84,231.32,400.25,260.60,309.96,136.42,364.08,176.99,43.12,509.47,61.05,56.92,494.66,57.20,57.09
06/04/2021,125.89,250.79,3206.22,330.35,2393.57,2451.76,599.05,292.52,175.78,166.44,165.97,230.14,405.64,263.04,311.01,135.95,366.02,177.18,43.27,504.50,61.45,57.00,494.74,57.30,57.37
06/03/2021,123.54,245.71,3187.01,326.04,2347.58,2404.61,572.84,291.97,169.70,166.17,166.04,228.11,407.96,257.79,311.43,135.85,361.82,176.24,43.25,493.14,61.18,56.39,489.43,56.98,56.24
06/02/2021,125.06,247.30,3233.99,329.15,2370.59,2421.28,605.12,290.02,167.78,166.06,166.20,229.66,405.85,262.17,313.23,133.46,366.85,177.00,42.94,495.77,60.94,56.69,499.24,56.65,57.48
06/01/2021,124.28,247.40,3218.65,329.13,2381.18,2429.81,623.90,289.84,162.65,166.05,165.53,226.63,406.72,259.27,316.31,132.88,359.79,178.84,42.92,495.91,60.46,56.95,499.08,56.38,56.89
05/28/2021,124.61,249.68,3223.07,328.73,2356.85,2411.56,625.22,289.44,162.45,164.24,169.25,227.30,411.92,260.02,318.91,134.85,360.58,178.65,42.39,504.58,58.37,57.34,502.81,56.49,57.12
05/27/2021,125.28,249.31,3230.11,332.75,2362.68,2402.51,630.85,289.30,154.88,164.35,168.81,226.86,412.70,259.47,318.77,134.98,362.00,179.04,42.55,498.28,58.56,57.34,503.86,56.29,57.73
05/26/2021,126.85,251.49,3265.16,327.66,2380.31,2433.53,619.13,287.33,157.00,161.83,169.07,227.07,413.21,261.37,317.33,138.12,362.65,176.47,42.04,506.98,58.94,56.85,502.36,56.36,56.92
05/25/2021,126.90,251.72,3259.05,327.79,2362.87,2409.07,604.69,287.20,156.48,161.85,170.08,229.02,413.05,258.65,316.75,138.43,367.22,176.17,42.01,505.08,58.26,55.70,501.34,56.48,56.87
05/24/2021,127.10,250.78,3244.99,324.63,2361.04,2406.67,606.44,289.73,156.12,163.54,170.55,229.32,410.95,257.17,314.84,137.96,372.38,174.31,42.63,497.83,59.61,55.66,502.90,56.98,56.96
05/21/2021,125.43,245.17,3203.08,316.23,2294.13,2345.10,580.88,287.74,149.92,162.66,170.96,226.77,411.63,250.69,315.77,138.00,367.60,172.40,42.40,488.07,58.92,55.08,497.89,56.91,56.08
05/20/2021,127.31,246.48,3247.68,318.61,2306.95,2356.09,586.78,286.73,146.13,160.83,171.07,226.44,408.64,251.54,315.90,138.00,367.70,171.36,41.87,491.67,58.84,55.04,501.67,56.79,55.95
05/19/2021,124.69,243.12,3231.80,313.59,2271.50,2308.71,563.46,286.22,140.66,161.11,170.08,224.59,409.50,244.63,314.45,136.60,360.98,169.27,41.97,480.47,58.98,54.24,487.70,56.92,55.36
05/18/2021,124.85,243.08,3232.28,309.96,2262.47,2303.43,577.87,287.59,140.16,162.35,170.45,225.57,410.38,243.21,316.75,136.32,363.07,169.68,42.16,480.62,60.43,54.95,486.28,57.18,54.84
05/17/2021,126.27,245.18,3270.39,315.46,2288.92,2321.41,576.83,289.22,141.66,164.67,170.39,226.44,408.63,244.36,320.01,137.73,363.30,170.08,42.74,482.74,62.19,55.46,488.94,57.94,55.33
05/14/2021,127.45,248.15,3222.90,315.94,2278.38,2316.16,589.74,290.68,142.43,164.01,170.22,226.94,409.80,246.29,323.63,138.01,363.91,173.70,42.36,486.56,60.77,58.68,493.37,58.69,55.35
05/13/2021,124.97,243.03,3161.47,305.26,2229.04,2261.97,571.69,286.90,136.65,161.50,169.96,223.74,408.56,240.80,325.42,137.72,360.02,178.34,41.84,474.16,59.30,57.39,486.66,58.81,54.01
05/12/2021,122.77,239.00,3151.94,302.55,2200.25,2239.08,589.89,282.91,137.59,157.45,168.20,220.63,405.37,239.91,317.00,135.54,356.62,177.85,41.18,472.09,60.04,56.62,484.98,58.41,53.62
05/11/2021,125.91,246.23,3223.91,306.53,2270.06,2308.76,617.20,285.63,143.06,158.54,168.88,225.48,411.70,248.60,330.66,136.99,367.61,181.67,41.57,485.19,60.59,57.50,495.08,58.54,55.04
05/10/2021,126.85,247.18,3190.49,305.97,2291.75,2341.66,629.04,292.33,142.66,161.22,170.27,225.97,420.89,243.63,341.12,137.67,366.34,184.30,42.05,479.38,62.58,57.51,486.69,59.52,55.97
05/07/2021,130.21,252.46,3291.61,319.08,2351.93,2398.69,672.37,290.93,148.12,161.24,168.50,232.12,417.65,253.36,339.25,135.15,375.40,184.84,42.18,488.73,62.43,58.11,503.84,58.72,57.67
05/06/2021,129.74,249.73,3306.37,320.02,2337.35,2381.35,663.54,289.71,145.23,160.69,167.74,231.32,414.97,252.02,337.58,135.14,375.48,181.79,42.01,483.61,61.55,56.98,499.55,59.29,57.19
05/05/2021,128.10,246.47,3270.54,315.02,2314.77,2356.74,670.94,282.76,144.59,157.52,167.07,229.21,412.50,247.40,332.05,133.46,369.14,181.51,41.39,486.69,60.97,56.41,496.08,58.69,56.85
05/04/2021,127.85,247.79,3311.87,318.36,2306.83,2354.25,673.60,280.26,143.51,155.48,167.77,232.03,411.34,250.16,332.77,134.54,375.91,184.25,41.00,490.70,59.19,56.63,503.18,58.60,56.90
